Indicador,País,Año,Valor
Educación pre-primaria,Belize,2012,20.64 %
Educación pre-primaria,Belize,2013,21.33 %
Educación pre-primaria,Belize,2014,30.31 %
Educación pre-primaria,Belize,2015,40.44 %
Educación pre-primaria,Belize,2016,45.23 %
Educación primaria,Belize,2012,54.34 %
Educación primaria,Belize,2013,48.79 %
Educación primaria,Belize,2014,60.75 %
Educación primaria,Belize,2015,67.5 %
Educación primaria,Belize,2016,72.84 %
Educación pre-primaria,Bolivia,2012,92.66 %
Educación pre-primaria,Bolivia,2013,91.57 %
Educación pre-primaria,Bolivia,2014,91.96 %
Educación pre-primaria,Bolivia,2015,92.08 %
Educación pre-primaria,Bolivia,2016,92.26 %
Educación pre-primaria,Bolivia,2017,92.17 %
Educación primaria,Bolivia,2012,56.05 %
Educación primaria,Bolivia,2013,57.21 %
Educación primaria,Bolivia,2014,57.36 %
Educación primaria,Bolivia,2015,57.56 %
Educación primaria,Bolivia,2016,58.14 %
Educación primaria,Bolivia,2017,58.18 %
Educación pre-primaria,Colombia,2012,100 %
Educación pre-primaria,Colombia,2013,96.02 %
Educación pre-primaria,Colombia,2014,96.99 %
Educación primaria,Colombia,2012,100 %
Educación primaria,Colombia,2013,97.28 %
Educación primaria,Colombia,2014,98.23 %
Educación primaria,Colombia,2015,94.03 %
Educación primaria,Colombia,2016,94.85 %
Educación primaria,Colombia,2017,94.72 %
Educación pre-primaria,Costa Rica,2013,86.83 %
Educación pre-primaria,Costa Rica,2014,86.82 %
Educación pre-primaria,Costa Rica,2015,87.49 %
Educación pre-primaria,Costa Rica,2016,89.19 %
Educación primaria,Costa Rica,2013,93.98 %
Educación primaria,Costa Rica,2014,93.98 %
Educación primaria,Costa Rica,2015,93.91 %
Educación primaria,Costa Rica,2016,93.76 %
Educación primaria,Cuba,2012,100 %
Educación primaria,Cuba,2013,100 %
Educación primaria,Cuba,2014,100 %
Educación primaria,Cuba,2015,100 %
Educación primaria,Cuba,2016,100 %
Educación primaria,Cuba,2017,100 %
Educación pre-primaria,Ecuador,2012,74.22 %
Educación pre-primaria,Ecuador,2013,75.3 %
Educación pre-primaria,Ecuador,2014,77.15 %
Educación pre-primaria,Ecuador,2015,77.89 %
Educación pre-primaria,Ecuador,2016,81.5 %
Educación pre-primaria,Ecuador,2017,82.89 %
Educación primaria,Ecuador,2012,75.18 %
Educación primaria,Ecuador,2013,76.39 %
Educación primaria,Ecuador,2014,78.65 %
Educación primaria,Ecuador,2015,79.21 %
Educación primaria,Ecuador,2016,81.22 %
Educación primaria,Ecuador,2017,82.27 %
Educación pre-primaria,El Salvador,2015,93.74 %
Educación pre-primaria,El Salvador,2016,95.26 %
Educación pre-primaria,El Salvador,2017,93.82 %
Educación primaria,El Salvador,2015,95.61 %
Educación primaria,El Salvador,2016,95.74 %
Educación primaria,El Salvador,2017,95.42 %
Educación pre-primaria,Guyana,2012,65.17 %
Educación primaria,Guyana,2012,69.65 %
Educación pre-primaria,Honduras,2013,51.02 %
Educación pre-primaria,Mexico,2012,85.6 %
Educación pre-primaria,Mexico,2013,85.8 %
Educación pre-primaria,Mexico,2014,85.29 %
Educación pre-primaria,Mexico,2015,84.31 %
Educación pre-primaria,Mexico,2016,84.97 %
Educación primaria,Mexico,2012,96 %
Educación primaria,Mexico,2013,96.4 %
Educación primaria,Mexico,2014,96.79 %
Educación primaria,Mexico,2015,96.25 %
Educación primaria,Mexico,2016,96.57 %
Educación pre-primaria,Panama,2012,46.95 %
Educación pre-primaria,Panama,2016,100 %
Educación primaria,Panama,2012,90.4 %
Educación primaria,Panama,2014,83.19 %
Educación primaria,Panama,2015,99.24 %
Educación primaria,Panama,2016,99.24 %
Educación pre-primaria,Paraguay,2012,91.94 %
Educación primaria,Paraguay,2012,92.08 %
Educación primaria,Peru,2017,97.38 %
Educación pre-primaria,Suriname,2012,98.39 %
Educación pre-primaria,Suriname,2013,96.11 %
Educación pre-primaria,Suriname,2014,97.83 %
Educación pre-primaria,Suriname,2015,98.57 %
Educación pre-primaria,Suriname,2016,98.69 %
Educación pre-primaria,Suriname,2017,99.27 %
Educación primaria,Suriname,2012,97.59 %
Educación primaria,Suriname,2013,97.24 %
Educación primaria,Suriname,2014,97.4 %
Educación primaria,Suriname,2015,97.98 %
Educación primaria,Suriname,2016,98.19 %
Educación primaria,Suriname,2017,98.38 %
Educación primaria,Uruguay,2013,100 %
Educación primaria,Uruguay,2014,100 %
Educación primaria,Uruguay,2015,100 %
Educación primaria,Uruguay,2016,100 %
